game_id,homeStatus,season,neutral,team,homeStatus,elo_pre,elo_prob,elo_post,carm-elo_pre,carm-elo_prob,carm-elo_post,raptor_pre,raptor_prob
201410280NOP,1,2015,0,NOP,1,1457.2185,0.7574192482328314,1463.354,,,,,
201410280NOP,0,2015,0,ORL,0,1359.4265,0.2425807517671686,1353.291,,,,,
201410280SAS,1,2015,0,SAS,1,1699.5024,0.7675309474544234,1701.1141,,,,,
201410280SAS,0,2015,0,DAL,0,1592.0101,0.2324690525455766,1590.3984,,,,,
201410280LAL,1,2015,0,LAL,1,1421.9985,0.3944467264809515,1410.6588,,,,,
201410280LAL,0,2015,0,HOU,0,1596.4641,0.6055532735190485,1607.8038,,,,,
201410290CHO,1,2015,0,CHO,1,1511.0031,0.8438990645943165,1512.225,,,,,
201410290CHO,0,2015,0,MIL,0,1317.8491,0.1561009354056834,1316.6272,,,,,
201410290IND,1,2015,0,IND,1,1532.6748,0.860624219139554,1535.2634,,,,,
201410290IND,0,2015,0,PHI,0,1316.4243,0.139375780860446,1313.8357,,,,,
201410290BOS,1,2015,0,BOS,1,1378.5464,0.4430857769989077,1394.7191,,,,,
201410290BOS,0,2015,0,BRK,0,1518.2666,0.5569142230010923,1502.0939,,,,,
201410290MIA,1,2015,0,MIA,1,1579.3748,0.6886945883617835,1585.8995,,,,,
201410290MIA,0,2015,0,WAS,0,1541.4388,0.3113054116382164,1534.9141,,,,,
201410290TOR,1,2015,0,TOR,1,1550.7469,0.7159933595794887,1554.9813,,,,,
201410290TOR,0,2015,0,ATL,0,1490.1147,0.2840066404205112,1485.8804,,,,,
201410290MEM,1,2015,0,MEM,1,1578.4064,0.721160437096933,1581.522,,,,,
201410290MEM,0,2015,0,MIN,0,1513.3354,0.278839562903067,1510.2198,,,,,
201410290NYK,1,2015,0,NYK,1,1534.4419,0.6229523012438865,1509.5001,,,,,
201410290NYK,0,2015,0,CHI,0,1547.2185,0.3770476987561135,1572.1603,,,,,
201410290DEN,1,2015,0,DEN,1,1473.0493,0.7422602276982232,1477.7131,,,,,
201410290DEN,0,2015,0,DET,0,1389.2994,0.2577397723017768,1384.6356,,,,,
201410290UTA,1,2015,0,UTA,1,1373.317,0.3155781201294808,1367.0422,,,,,
201410290UTA,0,2015,0,HOU,0,1607.8038,0.6844218798705193,1614.0786,,,,,
201410290PHO,1,2015,0,PHO,1,1560.1208,0.807837368045626,1565.3689,,,,,
201410290PHO,0,2015,0,LAL,0,1410.6588,0.192162631954374,1405.4108,,,,,
201410290SAC,1,2015,0,SAC,1,1431.1567,0.4150030853869351,1419.0911,,,,,
201410290SAC,0,2015,0,GSW,0,1590.7976,0.5849969146130649,1602.8633,,,,,
201410290POR,1,2015,0,POR,1,1567.8318,0.5687138256711358,1579.9985,,,,,
201410290POR,0,2015,0,OKC,0,1619.7805,0.4312861743288642,1607.6138,,,,,
201410300ORL,1,2015,0,ORL,1,1353.291,0.3846493013857754,1347.2158,,,,,
201410300ORL,0,2015,0,WAS,0,1534.9141,0.6153506986142245,1540.9893,,,,,
201410300CLE,1,2015,0,CLE,1,1463.7213,0.5774032099538376,1455.226,,,,,
201410300CLE,0,2015,0,NYK,0,1509.5001,0.4225967900461623,1517.9955,,,,,
201410300MIN,1,2015,0,MIN,1,1510.2198,0.7855937195000194,1513.0288,,,,,
201410300MIN,0,2015,0,DET,0,1384.6356,0.2144062804999805,1381.8267,,,,,
201410300DAL,1,2015,0,DAL,1,1590.3984,0.8654586387906542,1593.6544,,,,,
201410300DAL,0,2015,0,UTA,0,1367.0422,0.1345413612093458,1363.7863,,,,,
201410300LAC,1,2015,0,LAC,1,1630.6335,0.6699940878668039,1633.9928,,,,,
201410300LAC,0,2015,0,OKC,0,1607.6138,0.3300059121331961,1604.2545,,,,,
201410310IND,1,2015,0,IND,1,1535.2634,0.5767291261262807,1524.3203,,,,,
201410310IND,0,2015,0,MEM,0,1581.522,0.4232708738737193,1592.4651,,,,,
201410310CHI,1,2015,0,CHI,1,1572.1603,0.7770875995139717,1557.6185,,,,,
201410310CHI,0,2015,0,CLE,0,1455.226,0.2229124004860283,1469.7677,,,,,
201410310MIL,1,2015,0,MIL,1,1316.6272,0.6437586501769748,1324.2878,,,,,
201410310MIL,0,2015,0,PHI,0,1313.8357,0.3562413498230252,1306.175,,,,,
201410310PHO,1,2015,0,PHO,1,1565.3689,0.4487392579049494,1573.3562,,,,,
201410310PHO,0,2015,0,SAS,0,1701.1141,0.5512607420950506,1693.1268,,,,,
201410310SAC,1,2015,0,SAC,1,1419.0911,0.413234219803587,1431.0991,,,,,
201410310SAC,0,2015,0,POR,0,1579.9985,0.586765780196413,1567.9905,,,,,
201410310LAL,1,2015,0,LAL,1,1405.4108,0.3229653325710643,1400.4835,,,,,
201410310LAL,0,2015,0,LAC,0,1633.9928,0.6770346674289357,1638.92,,,,,
201411010CHO,1,2015,0,CHO,1,1512.225,0.5284061610449838,1507.0366,,,,,
201411010CHO,0,2015,0,MEM,0,1592.4651,0.4715938389550161,1597.6534,,,,,
201411010WAS,1,2015,0,WAS,1,1540.9893,0.8609353380857142,1543.4327,,,,,
201411010WAS,0,2015,0,MIL,0,1324.2878,0.1390646619142858,1321.8444,,,,,
201411010PHI,1,2015,0,PHI,1,1306.175,0.2621976452164686,1299.1923,,,,,
201411010PHI,0,2015,0,MIA,0,1585.8995,0.7378023547835313,1592.8823,,,,,
201411010ORL,1,2015,0,ORL,1,1347.2158,0.3497022891589531,1339.3263,,,,,
201411010ORL,0,2015,0,TOR,0,1554.9813,0.6502977108410468,1562.8708,,,,,
201411010NOP,1,2015,0,NOP,1,1463.354,0.4565044369507793,1457.0809,,,,,
201411010NOP,0,2015,0,DAL,0,1593.6544,0.5434955630492206,1599.9275,,,,,
201411010ATL,1,2015,0,ATL,1,1485.8804,0.5876765073777349,1494.0365,,,,,
201411010ATL,0,2015,0,IND,0,1524.3203,0.4123234926222651,1516.1642,,,,,
201411010DET,1,2015,0,DET,1,1381.8267,0.4708661928283889,1371.0433,,,,,
201411010DET,0,2015,0,BRK,0,1502.0939,0.5291338071716111,1512.8772,,,,,
201411010MIN,1,2015,0,MIN,1,1513.0288,0.5790725612168989,1508.1306,,,,,
201411010MIN,0,2015,0,CHI,0,1557.6185,0.4209274387831011,1562.5167,,,,,
201411010HOU,1,2015,0,HOU,1,1614.0786,0.8627571257186248,1616.8905,,,,,
201411010HOU,0,2015,0,BOS,0,1394.7191,0.1372428742813751,1391.9072,,,,,
