game_id,homeStatus,datetime,endtime,winner,y_status
201410280LAL,0,2014-10-28 22:30:00,2014-10-29 01:16:00,HOU,1
201410280LAL,1,2014-10-28 22:30:00,2014-10-29 01:16:00,HOU,0
201410280NOP,0,2014-10-28 20:00:00,2014-10-28 22:12:00,NOP,0
201410280NOP,1,2014-10-28 20:00:00,2014-10-28 22:12:00,NOP,1
201410280SAS,0,2014-10-28 20:00:00,2014-10-28 22:20:00,SAS,0
201410280SAS,1,2014-10-28 20:00:00,2014-10-28 22:20:00,SAS,1
201410290BOS,0,2014-10-29 19:30:00,2014-10-29 21:43:00,BOS,0
201410290BOS,1,2014-10-29 19:30:00,2014-10-29 21:43:00,BOS,1
201410290CHO,0,2014-10-29 19:00:00,2014-10-29 21:34:00,CHO,0
201410290CHO,1,2014-10-29 19:00:00,2014-10-29 21:34:00,CHO,1
201410290DEN,0,2014-10-29 21:00:00,2014-10-29 23:20:00,DEN,0
201410290DEN,1,2014-10-29 21:00:00,2014-10-29 23:20:00,DEN,1
201410290IND,0,2014-10-29 19:00:00,2014-10-29 21:24:00,IND,0
201410290IND,1,2014-10-29 19:00:00,2014-10-29 21:24:00,IND,1
201410290MEM,0,2014-10-29 20:00:00,2014-10-29 22:16:00,MEM,0
201410290MEM,1,2014-10-29 20:00:00,2014-10-29 22:16:00,MEM,1
201410290MIA,0,2014-10-29 19:30:00,2014-10-29 21:44:00,MIA,0
201410290MIA,1,2014-10-29 19:30:00,2014-10-29 21:44:00,MIA,1
201410290NYK,0,2014-10-29 20:00:00,2014-10-29 22:12:00,CHI,1
201410290NYK,1,2014-10-29 20:00:00,2014-10-29 22:12:00,CHI,0
201410290PHO,0,2014-10-29 22:00:00,2014-10-30 00:10:00,PHO,0
201410290PHO,1,2014-10-29 22:00:00,2014-10-30 00:10:00,PHO,1
201410290POR,0,2014-10-29 22:30:00,2014-10-30 00:51:00,POR,0
201410290POR,1,2014-10-29 22:30:00,2014-10-30 00:51:00,POR,1
201410290SAC,0,2014-10-29 22:00:00,2014-10-30 00:27:00,GSW,1
201410290SAC,1,2014-10-29 22:00:00,2014-10-30 00:27:00,GSW,0
201410290TOR,0,2014-10-29 19:30:00,2014-10-29 21:54:00,TOR,0
201410290TOR,1,2014-10-29 19:30:00,2014-10-29 21:54:00,TOR,1
201410290UTA,0,2014-10-29 21:00:00,2014-10-29 23:03:00,HOU,1
201410290UTA,1,2014-10-29 21:00:00,2014-10-29 23:03:00,HOU,0
201410300CLE,0,2014-10-30 20:00:00,2014-10-30 22:29:00,NYK,1
201410300CLE,1,2014-10-30 20:00:00,2014-10-30 22:29:00,NYK,0
201410300DAL,0,2014-10-30 20:30:00,2014-10-30 22:36:00,DAL,0
201410300DAL,1,2014-10-30 20:30:00,2014-10-30 22:36:00,DAL,1
201410300LAC,0,2014-10-30 22:30:00,2014-10-31 01:17:00,LAC,0
201410300LAC,1,2014-10-30 22:30:00,2014-10-31 01:17:00,LAC,1
201410300MIN,0,2014-10-30 20:00:00,2014-10-30 22:11:00,MIN,0
201410300MIN,1,2014-10-30 20:00:00,2014-10-30 22:11:00,MIN,1
201410300ORL,0,2014-10-30 19:00:00,2014-10-30 21:21:00,WAS,1
201410300ORL,1,2014-10-30 19:00:00,2014-10-30 21:21:00,WAS,0
201410310CHI,0,2014-10-31 20:00:00,2014-10-31 22:43:00,CLE,1
201410310CHI,1,2014-10-31 20:00:00,2014-10-31 22:43:00,CLE,0
201410310IND,0,2014-10-31 19:00:00,2014-10-31 21:13:00,MEM,1
201410310IND,1,2014-10-31 19:00:00,2014-10-31 21:13:00,MEM,0
201410310LAL,0,2014-10-31 22:30:00,2014-11-01 01:03:00,LAC,1
201410310LAL,1,2014-10-31 22:30:00,2014-11-01 01:03:00,LAC,0
201410310MIL,0,2014-10-31 20:30:00,2014-10-31 22:44:00,MIL,0
201410310MIL,1,2014-10-31 20:30:00,2014-10-31 22:44:00,MIL,1
201410310PHO,0,2014-10-31 22:00:00,2014-11-01 00:17:00,PHO,0
201410310PHO,1,2014-10-31 22:00:00,2014-11-01 00:17:00,PHO,1
201410310SAC,0,2014-10-31 22:00:00,2014-11-01 00:26:00,SAC,0
201410310SAC,1,2014-10-31 22:00:00,2014-11-01 00:26:00,SAC,1
201411010ATL,0,2014-11-01 19:30:00,2014-11-01 21:44:00,ATL,0
201411010ATL,1,2014-11-01 19:30:00,2014-11-01 21:44:00,ATL,1
201411010CHO,0,2014-11-01 19:00:00,2014-11-01 21:19:00,MEM,1
201411010CHO,1,2014-11-01 19:00:00,2014-11-01 21:19:00,MEM,0
201411010DET,0,2014-11-01 19:30:00,2014-11-01 21:38:00,BRK,1
201411010DET,1,2014-11-01 19:30:00,2014-11-01 21:38:00,BRK,0
201411010GSW,0,2014-11-01 22:30:00,2014-11-02 00:49:00,GSW,0
201411010GSW,1,2014-11-01 22:30:00,2014-11-02 00:49:00,GSW,1
201411010HOU,0,2014-11-01 20:00:00,2014-11-01 22:10:00,HOU,0
201411010HOU,1,2014-11-01 20:00:00,2014-11-01 22:10:00,HOU,1
201411010MIN,0,2014-11-01 20:00:00,2014-11-01 22:26:00,CHI,1
201411010MIN,1,2014-11-01 20:00:00,2014-11-01 22:26:00,CHI,0
201411010NOP,0,2014-11-01 19:00:00,2014-11-01 21:13:00,DAL,1
201411010NOP,1,2014-11-01 19:00:00,2014-11-01 21:13:00,DAL,0
201411010OKC,0,2014-11-01 20:00:00,2014-11-01 22:22:00,OKC,0
201411010OKC,1,2014-11-01 20:00:00,2014-11-01 22:22:00,OKC,1
201411010ORL,0,2014-11-01 19:00:00,2014-11-01 21:20:00,TOR,1
201411010ORL,1,2014-11-01 19:00:00,2014-11-01 21:20:00,TOR,0
201411010PHI,0,2014-11-01 19:00:00,2014-11-01 21:23:00,MIA,1
201411010PHI,1,2014-11-01 19:00:00,2014-11-01 21:23:00,MIA,0
201411010UTA,0,2014-11-01 21:00:00,2014-11-01 23:06:00,UTA,0
201411010UTA,1,2014-11-01 21:00:00,2014-11-01 23:06:00,UTA,1
201411010WAS,0,2014-11-01 19:00:00,2014-11-01 21:21:00,WAS,0
201411010WAS,1,2014-11-01 19:00:00,2014-11-01 21:21:00,WAS,1
201411020LAC,0,2014-11-02 15:30:00,2014-11-02 18:02:00,SAC,1
201411020LAC,1,2014-11-02 15:30:00,2014-11-02 18:02:00,SAC,0
201411020MIA,0,2014-11-02 18:00:00,2014-11-02 20:37:00,MIA,0
201411020MIA,1,2014-11-02 18:00:00,2014-11-02 20:37:00,MIA,1
201411020NYK,0,2014-11-02 19:30:00,2014-11-02 21:50:00,NYK,0
201411020NYK,1,2014-11-02 19:30:00,2014-11-02 21:50:00,NYK,1
201411020POR,0,2014-11-02 21:00:00,2014-11-02 23:15:00,GSW,1
201411020POR,1,2014-11-02 21:00:00,2014-11-02 23:15:00,GSW,0
201411030BRK,0,2014-11-03 19:30:00,2014-11-03 21:40:00,BRK,0
201411030BRK,1,2014-11-03 19:30:00,2014-11-03 21:40:00,BRK,1
201411030DAL,0,2014-11-03 20:30:00,2014-11-03 22:51:00,DAL,0
201411030DAL,1,2014-11-03 20:30:00,2014-11-03 22:51:00,DAL,1
201411030DEN,0,2014-11-03 21:00:00,2014-11-03 23:37:00,SAC,1
201411030DEN,1,2014-11-03 21:00:00,2014-11-03 23:37:00,SAC,0
201411030LAC,0,2014-11-03 22:30:00,2014-11-04 00:40:00,LAC,0
201411030LAC,1,2014-11-03 22:30:00,2014-11-04 00:40:00,LAC,1
201411030MEM,0,2014-11-03 20:00:00,2014-11-03 22:19:00,MEM,0
201411030MEM,1,2014-11-03 20:00:00,2014-11-03 22:19:00,MEM,1
201411030PHI,0,2014-11-03 19:00:00,2014-11-03 21:13:00,HOU,1
201411030PHI,1,2014-11-03 19:00:00,2014-11-03 21:13:00,HOU,0
201411040CHI,0,2014-11-04 20:00:00,2014-11-04 22:12:00,CHI,0
201411040CHI,1,2014-11-04 20:00:00,2014-11-04 22:12:00,CHI,1
201411040IND,0,2014-11-04 19:00:00,2014-11-04 21:13:00,MIL,1
201411040IND,1,2014-11-04 19:00:00,2014-11-04 21:13:00,MIL,0
201411040LAL,0,2014-11-04 22:30:00,2014-11-05 00:51:00,PHO,1
201411040LAL,1,2014-11-04 22:30:00,2014-11-05 00:51:00,PHO,0
201411040MIA,0,2014-11-04 19:30:00,2014-11-04 21:54:00,HOU,1
201411040MIA,1,2014-11-04 19:30:00,2014-11-04 21:54:00,HOU,0
201411040NOP,0,2014-11-04 20:00:00,2014-11-04 22:01:00,NOP,0
201411040NOP,1,2014-11-04 20:00:00,2014-11-04 22:01:00,NOP,1
201411040NYK,0,2014-11-04 19:30:00,2014-11-04 21:41:00,WAS,1
201411040NYK,1,2014-11-04 19:30:00,2014-11-04 21:41:00,WAS,0
201411040POR,0,2014-11-04 22:00:00,2014-11-05 00:10:00,POR,0
201411040POR,1,2014-11-04 22:00:00,2014-11-05 00:10:00,POR,1
201411040TOR,0,2014-11-04 19:30:00,2014-11-04 21:54:00,TOR,0
201411040TOR,1,2014-11-04 19:30:00,2014-11-04 21:54:00,TOR,1
201411050BOS,0,2014-11-05 19:30:00,2014-11-05 21:39:00,TOR,1
201411050BOS,1,2014-11-05 19:30:00,2014-11-05 21:39:00,TOR,0
201411050BRK,0,2014-11-05 19:30:00,2014-11-05 21:37:00,MIN,1
201411050BRK,1,2014-11-05 19:30:00,2014-11-05 21:37:00,MIN,0
201411050CHO,0,2014-11-05 19:00:00,2014-11-05 21:24:00,CHO,0
201411050CHO,1,2014-11-05 19:00:00,2014-11-05 21:24:00,CHO,1
201411050DET,0,2014-11-05 19:30:00,2014-11-05 21:50:00,DET,0
201411050DET,1,2014-11-05 19:30:00,2014-11-05 21:50:00,DET,1
201411050GSW,0,2014-11-05 22:30:00,2014-11-06 00:42:00,GSW,0
201411050GSW,1,2014-11-05 22:30:00,2014-11-06 00:42:00,GSW,1
201411050MIL,0,2014-11-05 20:00:00,2014-11-05 22:16:00,CHI,1
201411050MIL,1,2014-11-05 20:00:00,2014-11-05 22:16:00,CHI,0
201411050PHI,0,2014-11-05 19:00:00,2014-11-05 21:37:00,ORL,1
201411050PHI,1,2014-11-05 19:00:00,2014-11-05 21:37:00,ORL,0
201411050PHO,0,2014-11-05 21:00:00,2014-11-05 23:10:00,MEM,1
201411050PHO,1,2014-11-05 21:00:00,2014-11-05 23:10:00,MEM,0
201411050SAC,0,2014-11-05 22:00:00,2014-11-06 00:27:00,SAC,0
201411050SAC,1,2014-11-05 22:00:00,2014-11-06 00:27:00,SAC,1
201411050SAS,0,2014-11-05 20:30:00,2014-11-05 22:46:00,SAS,0
201411050SAS,1,2014-11-05 20:30:00,2014-11-05 22:46:00,SAS,1
201411050UTA,0,2014-11-05 21:00:00,2014-11-05 23:16:00,UTA,0
201411050UTA,1,2014-11-05 21:00:00,2014-11-05 23:16:00,UTA,1
201411050WAS,0,2014-11-05 20:00:00,2014-11-05 22:40:00,WAS,0
201411050WAS,1,2014-11-05 20:00:00,2014-11-05 22:40:00,WAS,1
201411060HOU,0,2014-11-06 20:00:00,2014-11-06 22:18:00,HOU,0
201411060HOU,1,2014-11-06 20:00:00,2014-11-06 22:18:00,HOU,1
201411060POR,0,2014-11-06 22:30:00,2014-11-07 00:51:00,POR,0
201411060POR,1,2014-11-06 22:30:00,2014-11-07 00:51:00,POR,1
201411070BOS,0,2014-11-07 19:30:00,2014-11-07 21:42:00,BOS,0
201411070BOS,1,2014-11-07 19:30:00,2014-11-07 21:42:00,BOS,1
201411070BRK,0,2014-11-07 19:30:00,2014-11-07 21:44:00,BRK,0
201411070BRK,1,2014-11-07 19:30:00,2014-11-07 21:44:00,BRK,1
201411070CHO,0,2014-11-07 19:00:00,2014-11-07 22:01:00,CHO,0
201411070CHO,1,2014-11-07 19:00:00,2014-11-07 22:01:00,CHO,1
201411070DEN,0,2014-11-07 22:30:00,2014-11-08 00:51:00,CLE,1
201411070DEN,1,2014-11-07 22:30:00,2014-11-08 00:51:00,CLE,0
201411070DET,0,2014-11-07 19:30:00,2014-11-07 21:46:00,DET,0
201411070DET,1,2014-11-07 19:30:00,2014-11-07 21:46:00,DET,1
201411070OKC,0,2014-11-07 20:00:00,2014-11-07 22:24:00,MEM,1
201411070OKC,1,2014-11-07 20:00:00,2014-11-07 22:24:00,MEM,0
201411070ORL,0,2014-11-07 19:00:00,2014-11-07 21:35:00,ORL,0
201411070ORL,1,2014-11-07 19:00:00,2014-11-07 21:35:00,ORL,1
201411070PHI,0,2014-11-07 19:00:00,2014-11-07 21:24:00,CHI,1
201411070PHI,1,2014-11-07 19:00:00,2014-11-07 21:24:00,CHI,0
201411070PHO,0,2014-11-07 21:00:00,2014-11-07 23:48:00,SAC,1
201411070PHO,1,2014-11-07 21:00:00,2014-11-07 23:48:00,SAC,0
201411070TOR,0,2014-11-07 19:30:00,2014-11-07 21:46:00,TOR,0
201411070TOR,1,2014-11-07 19:30:00,2014-11-07 21:46:00,TOR,1
201411070UTA,0,2014-11-07 21:00:00,2014-11-07 23:06:00,DAL,1
201411070UTA,1,2014-11-07 21:00:00,2014-11-07 23:06:00,DAL,0
201411080ATL,0,2014-11-08 19:30:00,2014-11-08 21:51:00,ATL,0
201411080ATL,1,2014-11-08 19:30:00,2014-11-08 21:51:00,ATL,1
201411080CHI,0,2014-11-08 20:00:00,2014-11-08 22:07:00,BOS,1
201411080CHI,1,2014-11-08 20:00:00,2014-11-08 22:07:00,BOS,0
201411080HOU,0,2014-11-08 20:00:00,2014-11-08 22:14:00,GSW,1
201411080HOU,1,2014-11-08 20:00:00,2014-11-08 22:14:00,GSW,0
201411080IND,0,2014-11-08 19:00:00,2014-11-08 21:09:00,WAS,1
201411080IND,1,2014-11-08 19:00:00,2014-11-08 21:09:00,WAS,0
